item_id,translated_name,original_name,collection_name,shopee_id (on_shopee),,,,,,,,,,,,,,,,,,,,,,,
115076683,3.1 Phillip Lim gold 靴子 金 二手,3.1 Phillip Lim・3.1 Phillip Lim ブーツ ゴールド 2020324D0039・ブーツその他・ゴールド・EU38(24.5cm位),buyma-shopee-01_a60001___,42476179896,,,,,,,,,,,,,,,,,,,,,,,
107517682,3.1 Phillip Lim 手拿包 二手,3.1 Phillip Lim・3.1 Phillip Lim クラッチバッグ - 2020324A0037・クラッチバッグ・-,buyma-shopee-01_a50066_3.1 Phillip Lim__3.1 phillip lim,58000926924,,,,,,,,,,,,,,,,,,,,,,,
114146582,3.1 Phillip Lim 手拿包 棕色 米色 二手,3.1 Phillip Lim・3.1 Phillip Lim クラッチバッグ - 2020324N0004・クラッチバッグ・ベージュx茶( ...・-,buyma-shopee-01_a50066_3.1 Phillip Lim__3.1 phillip lim,41525350943,,,,,,,,,,,,,,,,,,,,,,,
107517627,3.1 Phillip Lim 手拿包 棕色 黑色 二手,3.1 Phillip Lim・3.1 Phillip Lim クラッチバッグ 茶x黒 2020323O0031・クラッチバッグ・茶x黒・-,buyma-shopee-01_a50066_3.1 Phillip Lim__3.1 phillip lim,44275458730,,,,,,,,,,,,,,,,,,,,,,,
120599321,3.1 Phillip Lim 手拿包 象牙 二手,3.1 Phillip Lim・3.1 Phillip Lim クラッチバッグ - 2020325L0019・クラッチバッグ・アイボリーxエ...・-,buyma-shopee-01_a50066_3.1 Phillip Lim__3.1 phillip lim,43225334303,,,,,,,,,,,,,,,,,,,,,,,
110996536,3.1 Phillip Lim 手拿包 駱駝 二手,3.1 Phillip Lim・3.1 Phillip Lim クラッチバッグ キャメル 2020324S0006・クラッチバッグ・キャメル・-,buyma-shopee-01_a50066_3.1 Phillip Lim__3.1 phillip lim,41425351041,,,,,,,,,,,,,,,,,,,,,,,
108560066,3.1 Phillip Lim 手拿包 黑色 白色 二手,3.1 Phillip Lim・3.1 Phillip Lim クラッチバッグ 黒xオフホワイト 2020323G0074・クラッチバッグ・黒xオフホワイト・-,buyma-shopee-01_a50066_3.1 Phillip Lim__3.1 phillip lim,40875346587,,,,,,,,,,,,,,,,,,,,,,,
112066664,3.1 Phillip Lim 涼鞋 鞋子 黑色 二手,3.1 Phillip Lim・3.1 Phillip Lim シューズ（その他） 黒 2020324L0040・シューズ・サンダルその他・黒・EU35(21.5cm位),buyma-shopee-01_a60001___,48200881147,,,,,,,,,,,,,,,,,,,,,,,
123075270,3.1 Phillip Lim 涼鞋 高跟拖鞋 棕色 二手,3.1 Phillip Lim・3.1 Phillip Lim サンダル 茶 2020325S0016・サンダル・ミュール・茶・EU37(23.5cm位),buyma-shopee-01_a60001___,48750947336,,,,,,,,,,,,,,,,,,,,,,,
124295032,3.1 Phillip Lim 涼鞋 高跟拖鞋 棕色 白色 海軍藍 碎花 二手,3.1 Phillip Lim・3.1 Phillip Lim サンダル 紺x茶x白等(花柄) 2020325O0048・サンダル・ミュール・紺x茶x白等(花柄)・EU39(25.5cm位),buyma-shopee-01_a60001___,55900917236,,,,,,,,,,,,,,,,,,,,,,,
113468787,3.1 Phillip Lim 涼鞋 高跟拖鞋 白色 二手,3.1 Phillip Lim・3.1 Phillip Lim サンダル 白 2020324S0066・サンダル・ミュール・白・EU37(23.5cm位),buyma-shopee-01_a60001___,27093518805,,,,,,,,,,,,,,,,,,,,,,,
120899372,3.1 Phillip Lim 涼鞋 高跟拖鞋 黑色 二手,3.1 Phillip Lim・3.1 Phillip Lim サンダル 黒 2020325L0022・サンダル・ミュール・黒・EU38(24.5cm位),buyma-shopee-01_a60001___,#N/A,,,,,,,,,,,,,,,,,,,,,,,
123296538,3.1 Phillip Lim 涼鞋 高跟拖鞋 黑色 二手,3.1 Phillip Lim・3.1 Phillip Lim サンダル 黒 2020325S0061・サンダル・ミュール・黒・EU36 1/2(23cm位),buyma-shopee-01_a60001___,51700805181,,,,,,,,,,,,,,,,,,,,,,,
123617592,3.1 Phillip Lim 涼鞋 高跟拖鞋 黑色 二手,3.1 Phillip Lim・3.1 Phillip Lim サンダル 黒 2020325S0078・サンダル・ミュール・黒・EU35(21.5cm位),buyma-shopee-01_a60001___,#N/A,,,,,,,,,,,,,,,,,,,,,,,
122750411,3.1 Phillip Lim 涼鞋 高跟拖鞋 黑色 白色 二手,3.1 Phillip Lim・3.1 Phillip Lim サンダル 黒x白 2020325G0066・サンダル・ミュール・黒x白・EU35 1/2(22cm位),buyma-shopee-01_a60001___,47050947302,,,,,,,,,,,,,,,,,,,,,,,
120991447,3.1 Phillip Lim 涼鞋 高跟拖鞋 黑色 藍色 透明 二手,3.1 Phillip Lim・3.1 Phillip Lim サンダル 黒xクリアx青 2020325L0037・サンダル・ミュール・黒xクリアx青・EU37(23.5cm位),buyma-shopee-01_a60001___,51100790493,,,,,,,,,,,,,,,,,,,,,,,
110996542,3.1 Phillip Lim 肩背包 側肩包 斜背小包 二手,3.1 Phillip Lim・3.1 Phillip Lim ショルダーバッグ 青 2020324S0003・ショルダーバッグ・ポシェット・青・-,buyma-shopee-01_a50149_3.1 Phillip Lim__3.1 phillip lim,57500917233,,,,,,,,,,,,,,,,,,,,,,,
115496737,3.1 Phillip Lim 肩背包 側肩包 斜背小包 棕色 黑色 二手,3.1 Phillip Lim・3.1 Phillip Lim ショルダーバッグ 茶x黒(豹柄) 2020325J0009・ショルダーバッグ・ポシェット・茶x黒(豹柄)・-,buyma-shopee-01_a50149_3.1 Phillip Lim__3.1 phillip lim,48950937279,,,,,,,,,,,,,,,,,,,,,,,
121193724,3.1 Phillip Lim 肩背包 側肩包 斜背小包 橘色 二手,3.1 Phillip Lim・3.1 Phillip Lim ショルダーバッグ オレンジ 2020325L0046・ショルダーバッグ・ポシェット・オレンジ・-,buyma-shopee-01_a50149_3.1 Phillip Lim__3.1 phillip lim,47400932372,,,,,,,,,,,,,,,,,,,,,,,
122666597,3.1 Phillip Lim 肩背包 側肩包 斜背小包 米色 二手,3.1 Phillip Lim・3.1 Phillip Lim ショルダーバッグ ベージュ 2020325S0029・ショルダーバッグ・ポシェット・ベージュ・-,buyma-shopee-01_a50149_3.1 Phillip Lim__3.1 phillip lim,50850912465,,,,,,,,,,,,,,,,,,,,,,,
109423827,3.1 Phillip Lim 肩背包 側肩包 斜背小包 粉紅色 二手,3.1 Phillip Lim・3.1 Phillip Lim ショルダーバッグ ピンク 2020324A0023・ショルダーバッグ・ポシェット・ピンク・-,buyma-shopee-01_a50149_3.1 Phillip Lim__3.1 phillip lim,#N/A,,,,,,,,,,,,,,,,,,,,,,,
107517844,3.1 Phillip Lim 肩背包 側肩包 斜背小包 粉紅色 二手,3.1 Phillip Lim・3.1 Phillip Lim ショルダーバッグ ピンク 2020324Y0069・ショルダーバッグ・ポシェット・ピンク・-,buyma-shopee-01_a50149_3.1 Phillip Lim__3.1 phillip lim,50500918508,,,,,,,,,,,,,,,,,,,,,,,
122337276,3.1 Phillip Lim 肩背包 側肩包 斜背小包 紫色 二手,3.1 Phillip Lim・3.1 Phillip Lim ショルダーバッグ 紫 2020325G0082・ショルダーバッグ・ポシェット・紫・-,buyma-shopee-01_a50149_3.1 Phillip Lim__3.1 phillip lim,48650937352,,,,,,,,,,,,,,,,,,,,,,,
123075279,3.1 Phillip Lim 肩背包 側肩包 斜背小包 紫色 二手,3.1 Phillip Lim・3.1 Phillip Lim ショルダーバッグ 紫 2020325S0053・ショルダーバッグ・ポシェット・紫・-,buyma-shopee-01_a50149_3.1 Phillip Lim__3.1 phillip lim,#N/A,,,,,,,,,,,,,,,,,,,,,,,
107517838,3.1 Phillip Lim 肩背包 側肩包 斜背小包 黑色 二手,3.1 Phillip Lim・3.1 Phillip Lim ショルダーバッグ 黒 2020324Y0075・ショルダーバッグ・ポシェット・黒・-,buyma-shopee-01_a50149_3.1 Phillip Lim__3.1 phillip lim,49550947218,,,,,,,,,,,,,,,,,,,,,,,
119191795,3.1 Phillip Lim 跟鞋 棕色 米色 二手,3.1 Phillip Lim・3.1 Phillip Lim パンプス ベージュx茶(豹柄) 2020325Y0057・パンプス・ベージュx茶( ...・EU36(22.5cm位),buyma-shopee-01_a60001___,51250912432,,,,,,,,,,,,,,,,,,,,,,,
121901317,3.1 Phillip Lim 跟鞋 海軍藍 二手,3.1 Phillip Lim・3.1 Phillip Lim パンプス 紺 2020325L0047・パンプス・紺・EU37(23.5cm位),buyma-shopee-01_a60001___,49250947306,,,,,,,,,,,,,,,,,,,,,,,
119635160,3.1 Phillip Lim 靴子 棕色 二手,3.1 Phillip Lim・3.1 Phillip Lim ブーツ 茶 2020325E0013・ブーツその他・茶・EU37(23.5cm位),buyma-shopee-01_a60001___,51700805170,,,,,,,,,,,,,,,,,,,,,,,
107517764,3.1 Phillip Lim 靴子 踝靴 黑色 二手,3.1 Phillip Lim・3.1 Phillip Lim ブーティ 黒 2020324M0001・ブーツその他・黒・EU37(23.5cm位),buyma-shopee-01_a60001___,52050912376,,,,,,,,,,,,,,,,,,,,,,,
107705521,3.1 Phillip Lim 靴子 黑色 二手,3.1 Phillip Lim・3.1 Phillip Lim ブーツ 黒 2020323S0054・ブーツその他・黒・EU35(21.5cm位),buyma-shopee-01_a60001___,#N/A,,,,,,,,,,,,,,,,,,,,,,,
118018501,3.1 Phillip Lim 靴子 黑色 二手,3.1 Phillip Lim・3.1 Phillip Lim ブーツ 黒 2020325A0020・ブーツその他・黒・EU35(21.5cm位),buyma-shopee-01_a60001___,#N/A,,,,,,,,,,,,,,,,,,,,,,,
116550499,3.1 Phillip Lim 靴子 黑色 二手,3.1 Phillip Lim・3.1 Phillip Lim ブーツ 黒 2020325F0016・ブーツその他・黒・EU37(23.5cm位),buyma-shopee-01_a60001___,#N/A,,,,,,,,,,,,,,,,,,,,,,,
